,index_id1,index_id2,value,comment1,comment2,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
35870,107399,45.0,0.7712742283778319,107399,45,每万人西餐厅(综合风味)相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3351481842929785,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
35905,107523,45.0,-0.676114447252763,107523,45,每万人篮球场馆相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.598696286130886,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
35915,107463,45.0,-0.692818773342372,107463,45,每万人品牌皮具店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.4984778973545428,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
35924,107473,45.0,-0.6791862674152902,107473,45,每万人自行车专卖店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3151846587992274,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
35926,107382,45.0,-0.7130887076342578,107382,45,每万人湖南菜(湘菜)相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.4984778973545428,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
36304,56528,45.0,-0.6959909453712062,56528,45,购物服务；专卖店；自行车专卖店；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.3170234454638124,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
36458,56523,45.0,-0.7000197279577327,56523,45,购物服务；服装鞋帽皮具店；品牌皮具店；此类数据总个数,f,POI,购物服务,ValueOntology.QUANTITY,0.5,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
36593,56591,45.0,-0.6882072784806252,56591,45,体育休闲服务；运动场馆；篮球场馆；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.6,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
36774,54195,45.0,0.7678975142973449,54195,45,餐饮服务；外国餐厅；西餐厅(综合风味)；此类数据总个数,f,POI,餐饮服务,ValueOntology.QUANTITY,0.3333333333333333,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
36811,56420,45.0,-0.716209339550398,56420,45,餐饮服务；中餐厅；湖南菜(湘菜)；此类数据总个数,f,POI,餐饮服务,ValueOntology.QUANTITY,0.5,官媒空气污染治理网络热度指数,f,舆情,网络热度,ValueOntology.SCORE,0.7103128306698863
